nome,quantidade,responsavel,horario
Parafuso Aço inox 304,6652,Fábio,09:54
Abraçadeira Tungstênio,1373,Adriana,08:09
Correia Aço H13,3066,Renata,10:44
Abraçadeira Aço D2,714,Evandro,16:17
Anel Acrílico,3927,Adriana,07:15
Retentor Borracha neoprene,2294,Evandro,18:46
Anel PTFE,7917,Simone,17:39
Bucha Aço inox 316,6569,Gustavo,08:46
Filtro ABS,5882,Priscila,14:41
Pino Cortiça,5568,Cristiane,14:09
Retentor Alumínio anodizado,480,Leandro,11:25
Correia Aço zincado,1301,Gustavo,17:12
Polia Fibra de carbono,4395,Priscila,14:56
Polia Vulcanite,8600,Thiago,11:58
Engrenagem Poliamida,5872,Gustavo,13:54
Polia Poliamida,8926,Adriana,18:42
Anel Aço D2,9058,Renata,10:59
Pino ABS,8044,Cristiane,10:25
Conector Aço H13,8082,Simone,14:41
Polia Delrin,7470,Adriana,12:03
Suporte Borracha silicone,703,Larissa,12:37
Filtro Aço temperado,3727,Henrique,13:22
Pino Cromo,6935,Vanessa,17:09
Correia ABS,5405,Thiago,15:38
Bucha Borracha silicone,2933,Douglas,09:19
Mola Cobre,5432,Rodrigo,09:51
Abraçadeira Aço inox 304,255,Fernanda,17:17
Porca Aço carbono,9788,Fábio,15:46
Junta Nylon,3087,Leandro,18:27
Correia Ferro fundido nodular,2501,Evandro,08:13
Polia Ferro fundido cinzento,2849,Simone,14:27
Mola Vulcanite,2785,Henrique,10:31
Correia Bronze,1263,Larissa,12:39
Terminal Magnésio,1040,Rodrigo,18:32
Arruela Nylon,1381,Adriana,07:18
Bucha Ferro fundido nodular,5943,Vinícius,17:26
Rolamento Grafite,9408,Fábio,11:11
Bucha Borracha neoprene,5269,Larissa,14:07
Filtro PTFE,5776,Cristiane,17:01
Correia Teflon,4280,Vanessa,08:55
Anel Aço inox 316,1665,Adriana,13:17
Pino Borracha silicone,5463,Fábio,11:40
Mangueira Policarbonato,1847,Gustavo,08:25
Parafuso Aço SAE 1045,4978,Cristiane,17:52
Suporte Tungstênio,2936,Vinícius,07:16
Filtro Cerâmica técnica,5963,Tatiane,11:00
Terminal Aço H13,6220,Douglas,11:29
Parafuso Aço temperado,426,Douglas,14:52
Eixo Ferro fundido cinzento,1406,Douglas,08:38
Arruela Poliamida,8309,Fernanda,08:03
Junta Zamak,1274,Vinícius,14:42
Engrenagem Ferro fundido cinzento,1393,Evandro,13:26
Rolamento Fibra de carbono,83,Adriana,08:02
Porca Alumínio,8921,Tatiane,11:24
Conector Cromo,246,Priscila,14:13
Suporte Titânio,4577,Rodrigo,09:48
Engrenagem Níquel,4315,Priscila,08:55
Rolamento Aço D2,9066,Evandro,10:09
Eixo Aço SAE 1020,9837,Simone,17:20
Eixo ABS,9600,Evandro,11:00
Arruela Borracha silicone,4837,Tatiane,07:14
Conector Fibra de vidro,6158,Simone,13:44
Junta Aço H13,9742,Priscila,16:53
Arruela Ferro fundido nodular,1271,Thiago,15:50
Filtro Poliamida,4266,Henrique,12:38
Bucha Vulcanite,5354,Adriana,09:27
Suporte Nylon,385,Simone,07:19
Suporte Polietileno,7183,Fernanda,10:50
Pino Manganês,4846,Vinícius,11:39
Anel Cobalto,904,Cristiane,17:23
Bucha Bronze,5473,Rodrigo,07:38
Bucha Polipropileno,2471,Vinícius,15:35
Conector Alumínio,232,Fernanda,14:58
Mola Aço galvanizado,6706,Rodrigo,09:16
Anel Cobre,801,Adriana,17:39
Filtro PVC rígido,7693,Vinícius,08:08
Mangueira Tungstênio,9165,Leandro,11:26
Parafuso Polietileno,4408,Fábio,09:55
Porca Bronze,7488,Cristiane,12:47
Eixo Borracha EPDM,6124,Leandro,07:13
Filtro Teflon,6522,Renata,08:38
Correia Titânio,5096,Larissa,17:40
Bucha Aço inox 304,7627,Renata,14:40
Terminal Aço temperado,244,Thiago,15:12
Abraçadeira Ferro fundido cinzento,6887,Adriana,16:35
Filtro Aço inox 304,7789,Renata,18:01
Rolamento Bronze,7673,Isabela,12:04
Correia Aço carbono,2708,Henrique,07:00
Polia Aço SAE 1020,6766,Rodrigo,12:57
Porca Vulcanite,3405,Gustavo,07:11
Arruela Borracha neoprene,1807,Rodrigo,11:08
Rolamento Ferro fundido cinzento,2100,Fábio,13:13
Pino Aço temperado,4893,Thiago,13:23
Rolamento Borracha neoprene,6223,Priscila,07:25
Eixo Aço inox 316,1458,Tatiane,17:50
Junta Tungstênio,15,Thiago,17:24
Anel Alumínio,2109,Thiago,12:09
Junta Aço carbono,7183,Priscila,15:00
Retentor Ferro fundido nodular,2469,Renata,13:08
Conector Aço D2,7563,Vinícius,19:00
Terminal Aço inox 304,365,Adriana,09:36
Suporte PVC rígido,8098,Vinícius,12:29
Polia Teflon,6111,Evandro,15:12
Conector Vulcanite,822,Gustavo,16:04
Anel Policarbonato,5954,Tatiane,12:20
Mangueira Alumínio,8145,Tatiane,10:05
Polia Molibdênio,8291,Marcelo,11:57
Arruela Níquel,7339,Vinícius,15:48
Porca PTFE,6632,Larissa,11:21
Mola Grafite,9424,Vanessa,16:30
Anel Aço carbono,5007,Rodrigo,11:01
Engrenagem Aço SAE 1020,852,Fernanda,11:18
Mangueira Aço H13,6989,Vinícius,16:10
Anel Aço inox 304,4125,Gustavo,16:45
Mangueira Aço carbono,4951,Gustavo,11:48
Pino Cobre,2168,Thiago,14:01
Mangueira Aço inox 316,6857,Evandro,07:33
Mola Níquel,8661,Cristiane,13:33
Terminal Cobre,3101,Rodrigo,15:03
Parafuso Alumínio,4210,Tatiane,07:20
Retentor ABS,2659,Adriana,10:57
Retentor Cobre,9480,Priscila,17:31
Suporte ABS,1836,Douglas,08:39
Mola Borracha silicone,4033,Tatiane,10:17
Bucha Cobre,4621,Marcelo,08:07
Abraçadeira Aço galvanizado,5392,Isabela,12:20
Junta Ferro fundido nodular,6189,Renata,09:41
Bucha PEEK,7563,Simone,16:14
Terminal Aço carbono,4361,Fábio,17:15
Retentor Polipropileno,3239,Cristiane,16:11
Mola Acrílico,4207,Leandro,11:44
Rolamento Polietileno,1837,Gustavo,08:53
Mola ABS,9001,Henrique,13:40
Arruela Delrin,2385,Gustavo,15:49
Mola PVC rígido,6431,Vinícius,17:57
Anel Fibra de carbono,8420,Cristiane,07:35
Filtro Cortiça,907,Cristiane,14:55
Correia Aço galvanizado,3897,Renata,18:54
Correia Tungstênio,8561,Cristiane,16:52
Arruela Magnésio,8544,Fernanda,13:01
Correia Aço SAE 1020,2322,Cristiane,17:05
Junta Polipropileno,1715,Douglas,16:42
Mola Policarbonato,3930,Evandro,17:51
Anel Tungstênio,2960,Thiago,15:43
Abraçadeira Aço H13,6635,Douglas,18:11
Bucha Latão,3906,Priscila,10:32
Arruela Aço inox 304,6436,Marcelo,10:29
Anel Borracha nitrílica,3683,Rodrigo,10:29
Suporte Aço galvanizado,2266,Fábio,11:25
Retentor PVC rígido,5601,Vinícius,14:22
Mola Fibra de vidro,2225,Marcelo,08:58
Retentor Aço H13,3712,Rodrigo,12:47
Conector PVC rígido,578,Fernanda,18:53
Arruela Borracha EPDM,8414,Adriana,16:22
Mangueira Aço zincado,3348,Douglas,17:30
Parafuso Zamak,2332,Leandro,09:19
Pino Alumínio,2309,Leandro,16:27
Suporte Magnésio,1172,Larissa,09:37
Filtro Cromo,8365,Thiago,17:26
Junta ABS,5537,Fernanda,18:05
Anel Aço SAE 1020,5893,Simone,13:49
Eixo Ferro fundido nodular,6873,Thiago,09:46
Arruela Bronze,7179,Renata,15:39
Polia Borracha silicone,4797,Douglas,13:22
Junta Cortiça,6064,Fábio,16:22
Correia Alumínio,8133,Tatiane,14:51
Porca Teflon,8784,Gustavo,11:00
Pino Aço D2,7804,Marcelo,18:59
Retentor Zamak,7183,Thiago,18:45
Retentor Cromo,8091,Evandro,07:09
Porca Magnésio,2277,Fábio,15:52
Bucha Aço zincado,7452,Vinícius,11:04
Correia Polipropileno,8945,Simone,18:10
Engrenagem Borracha nitrílica,9045,Rodrigo,17:45
Eixo Molibdênio,8114,Thiago,13:13
Mola Bronze,6098,Henrique,16:12
Parafuso Aço zincado,9708,Priscila,10:47
Bucha Fibra de carbono,7324,Priscila,07:16
Engrenagem Aço inox 304,6428,Simone,17:48
Arruela Zinco,4236,Douglas,16:23
Bucha Tungstênio,6575,Larissa,14:09
Porca Molibdênio,5363,Evandro,11:41
Anel Grafite,7891,Tatiane,10:33
Bucha Teflon,145,Larissa,17:47
Mola Zamak,1233,Fábio,18:22
Eixo Grafite,8278,Isabela,07:26
Junta Titânio,6889,Isabela,11:07
Arruela Teflon,2086,Simone,08:28
Correia Policarbonato,4790,Tatiane,12:24
Bucha Borracha nitrílica,4935,Leandro,08:01
Anel Nylon,188,Adriana,10:58
Engrenagem Zamak,8187,Douglas,15:36
Terminal Alumínio,7472,Vanessa,17:21
Correia Grafite,1742,Larissa,16:34
Pino Aço carbono,7126,Gustavo,13:28
Correia Aço SAE 1045,4282,Evandro,16:24
Parafuso Poliamida,4990,Gustavo,13:33
Filtro Fibra de carbono,4050,Marcelo,14:47
Abraçadeira Alumínio,6673,Cristiane,12:21
Abraçadeira PEEK,504,Simone,13:29
Junta Aço temperado,385,Gustavo,11:08
Eixo Manganês,8221,Evandro,07:45
Eixo Polipropileno,6458,Priscila,15:20
Engrenagem Borracha neoprene,1853,Cristiane,08:39
Abraçadeira Cobre,3956,Douglas,07:50
Terminal Cromo,8998,Fábio,15:05
Eixo PVC rígido,544,Fernanda,16:50
Porca Fibra de vidro,9590,Fernanda,11:19
Mola Aço inox 316,5733,Isabela,11:05
Pino Policarbonato,2466,Isabela,17:04
Bucha Acrílico,549,Tatiane,15:30
Terminal Borracha nitrílica,9264,Isabela,14:11
Suporte Cerâmica técnica,3627,Henrique,16:44
Anel Ferro fundido cinzento,5754,Adriana,15:38
Engrenagem Aço D2,7298,Gustavo,13:56
Pino Zamak,8955,Isabela,10:28
Filtro Alumínio,735,Evandro,08:41
Pino Fibra de vidro,6444,Vanessa,18:55
Pino Grafite,8740,Cristiane,15:53
Porca Borracha neoprene,7816,Renata,17:12
Filtro Latão,3496,Vinícius,09:38
Porca Aço zincado,4912,Vanessa,15:36
Porca Acrílico,5929,Douglas,11:16
Rolamento Poliamida,9291,Priscila,07:21
Engrenagem PVC rígido,5317,Adriana,10:32
Parafuso Fibra de carbono,5878,Renata,18:25
Pino Tungstênio,7366,Cristiane,15:49
Bucha Zamak,4573,Leandro,14:00
Retentor Teflon,8703,Renata,10:19
Retentor Borracha silicone,472,Douglas,08:19
Correia Nylon,7511,Vanessa,15:48
Polia Cerâmica técnica,4360,Vanessa,11:58
Porca Polipropileno,4780,Marcelo,07:25
Rolamento Cerâmica técnica,3947,Leandro,07:53
Polia Cortiça,1618,Gustavo,18:40
Junta Policarbonato,942,Gustavo,09:33
Engrenagem Borracha EPDM,1010,Tatiane,10:25
Filtro Borracha EPDM,1375,Adriana,17:20
Polia Tungstênio,5364,Henrique,15:54
Polia Zamak,2082,Tatiane,16:45
Abraçadeira Polipropileno,3276,Larissa,11:21
Parafuso Cromo,6656,Isabela,11:22
Porca Borracha natural,7832,Isabela,09:45
Suporte PTFE,3077,Cristiane,07:03
Mangueira Manganês,1419,Priscila,08:25
Mola Fibra de carbono,2071,Priscila,13:20
Polia Aço inox 304,4505,Tatiane,08:25
Abraçadeira Zinco,8944,Isabela,15:02
Eixo Aço SAE 1045,6708,Renata,08:57
Terminal Tungstênio,4046,Isabela,17:30
Correia Aço inox 316,7141,Priscila,10:54
Correia Alumínio anodizado,6996,Fernanda,15:37
Parafuso Nylon,1840,Fábio,13:00
Rolamento PEEK,1639,Adriana,13:14
Conector Alumínio anodizado,3785,Adriana,11:10
Bucha PVC rígido,4072,Isabela,08:36
Correia Delrin,8276,Larissa,17:18
Mola Tungstênio,1073,Larissa,17:57
Porca Titânio,4729,Fernanda,15:09
Arruela Vulcanite,8820,Fernanda,12:05
Porca Cerâmica técnica,7213,Simone,18:33
Suporte Zinco,8542,Fábio,07:09
Engrenagem Zinco,4946,Renata,09:44
Parafuso Titânio,5337,Larissa,09:41
Retentor Aço inox 316,419,Thiago,14:08
Conector Aço SAE 1020,6398,Fernanda,10:42
Correia Molibdênio,8142,Adriana,18:19
Abraçadeira PTFE,5515,Fábio,08:52
Conector Zinco,5099,Cristiane,15:51
Filtro Zamak,3448,Tatiane,14:24
Eixo Magnésio,7226,Douglas,07:47
Retentor Borracha nitrílica,7950,Marcelo,18:16
Arruela Fibra de carbono,1175,Cristiane,16:22
Rolamento Borracha EPDM,447,Leandro,16:25
Conector Molibdênio,1428,Douglas,17:51
Correia Zamak,2153,Cristiane,18:06
Suporte Fibra de vidro,3314,Marcelo,16:58
Abraçadeira Bronze,5279,Evandro,08:54
Parafuso Alumínio anodizado,7113,Henrique,13:09
Mangueira Vulcanite,8915,Simone,14:55
Mangueira Delrin,7011,Vanessa,09:38
Pino Borracha natural,1167,Fábio,15:47
Rolamento Borracha natural,8183,Douglas,08:05
Abraçadeira Nylon,8505,Fábio,13:57
Terminal Polipropileno,3519,Henrique,11:11
Bucha Aço SAE 1020,8570,Tatiane,12:34
Arruela PTFE,1773,Adriana,17:02
Parafuso Polipropileno,1859,Gustavo,16:11
Bucha Magnésio,4625,Vinícius,16:39
Arruela Polietileno,2313,Tatiane,12:07
Engrenagem PTFE,9916,Marcelo,15:14
Pino Polietileno,3889,Fábio,09:26
Mangueira Fibra de vidro,4922,Tatiane,09:59
Abraçadeira Polietileno,9163,Douglas,12:03
Terminal Molibdênio,9623,Adriana,08:06
Junta Polietileno,1403,Thiago,17:37
Rolamento ABS,6587,Adriana,14:49
Pino Ferro fundido nodular,3028,Simone,16:41
Correia Manganês,218,Vinícius,13:16
Junta Borracha silicone,8557,Larissa,08:21
Anel Aço zincado,1426,Vinícius,09:56
Junta Bronze,7028,Larissa,09:03
Porca Poliamida,1075,Renata,13:51
Mola Aço zincado,8545,Renata,08:02
Polia Aço zincado,9069,Gustavo,17:32
Junta Magnésio,8918,Fábio,08:06
Filtro Bronze,2359,Thiago,07:45
Engrenagem Cobalto,607,Cristiane,16:09
Engrenagem Cobre,594,Rodrigo,17:52
Suporte Bronze,4112,Tatiane,15:10
Parafuso Policarbonato,9831,Vanessa,14:54
Rolamento Zamak,2722,Henrique,08:04
Bucha Polietileno,4363,Tatiane,12:10
Rolamento Aço SAE 1045,130,Rodrigo,18:32
Mola Aço temperado,2685,Fábio,07:53
Correia Zinco,1,Rodrigo,16:53
Porca Ferro fundido nodular,9485,Priscila,18:21
Junta PTFE,6894,Isabela,11:25
Parafuso Bronze,8009,Fernanda,08:47
Terminal Borracha silicone,332,Douglas,15:15
Mola Aço D2,5573,Tatiane,13:20
Terminal Fibra de carbono,9161,Fábio,07:36
Conector Titânio,4847,Larissa,11:46
Conector Latão,1544,Adriana,15:13
Anel Borracha natural,2092,Simone,13:05
Suporte Aço temperado,3960,Thiago,13:45
Engrenagem Borracha natural,2367,Fernanda,11:28
Filtro Tungstênio,962,Larissa,15:16
Filtro Borracha nitrílica,2664,Adriana,07:06
Retentor Manganês,3269,Marcelo,14:30
Porca Aço galvanizado,5126,Rodrigo,11:21
Terminal Ferro fundido cinzento,3867,Henrique,16:30
Retentor Delrin,9949,Rodrigo,10:50
Engrenagem Aço carbono,4797,Renata,07:29
Mola Ferro fundido nodular,1683,Cristiane,13:19
Rolamento Polipropileno,9307,Isabela,16:41
Suporte Acrílico,1093,Cristiane,17:04
Anel Zamak,9135,Isabela,14:04
Mangueira Cortiça,6518,Tatiane,07:59
Conector Aço galvanizado,7117,Fernanda,12:10
Pino Borracha nitrílica,1685,Leandro,12:03
Pino Latão,573,Henrique,15:06
Parafuso Borracha silicone,320,Tatiane,08:40
Suporte Manganês,6899,Isabela,14:52
Eixo Zinco,130,Fábio,10:56
Junta Aço SAE 1020,1790,Fábio,15:37
Retentor Cobalto,1860,Simone,12:48
Bucha Aço temperado,6924,Vanessa,11:01
Parafuso Ferro fundido nodular,4629,Isabela,10:44
Polia Polipropileno,6602,Leandro,12:17
Correia Cromo,9698,Fábio,13:45
Correia PTFE,8650,Marcelo,11:45
Terminal Grafite,6425,Larissa,15:51
Parafuso Aço SAE 1020,9988,Cristiane,14:07
Pino PEEK,5352,Evandro,07:23
Eixo Aço H13,7818,Priscila,16:53
Mangueira Polipropileno,5263,Fábio,08:04
Engrenagem Fibra de vidro,710,Vanessa,13:18
Abraçadeira Latão,5141,Fernanda,07:29
Mangueira Magnésio,7903,Leandro,10:04
Pino PTFE,9978,Renata,12:19
Eixo Polietileno,9000,Leandro,15:42
Arruela ABS,92,Gustavo,07:41
Filtro Titânio,7206,Larissa,08:53
Engrenagem Ferro fundido nodular,5064,Simone,13:59
Arruela Acrílico,5578,Fábio,11:06
Suporte Aço H13,4548,Douglas,13:31
Bucha ABS,9100,Simone,16:04
Correia Latão,6232,Priscila,16:25
Mola Polietileno,2710,Priscila,15:40
Conector Teflon,9240,Priscila,18:17
Engrenagem Aço galvanizado,1882,Leandro,08:11
Polia Polietileno,8663,Vanessa,08:59
Conector Níquel,4395,Thiago,17:06
Engrenagem Grafite,2240,Isabela,13:25
Porca Zinco,9869,Henrique,11:35
Mangueira ABS,4909,Simone,09:27
Engrenagem Bronze,7145,Fábio,10:47
Engrenagem Molibdênio,8099,Larissa,13:51
Suporte Borracha neoprene,2253,Thiago,17:54
Abraçadeira Cromo,1546,Douglas,10:05
Suporte Borracha EPDM,3590,Henrique,15:13
Engrenagem Alumínio,2961,Douglas,10:20
Pino Aço SAE 1020,3836,Evandro,12:21
Abraçadeira Aço carbono,3721,Larissa,18:49
Conector Aço carbono,6445,Marcelo,15:20
Suporte Fibra de carbono,8191,Vinícius,15:01
Abraçadeira Magnésio,8713,Cristiane,14:46
Junta Alumínio anodizado,4554,Evandro,07:36
Engrenagem Acrílico,451,Simone,10:36
Conector Fibra de carbono,6937,Douglas,07:50
Rolamento Delrin,873,Thiago,13:16
Pino Borracha neoprene,808,Larissa,12:23
Terminal PTFE,1146,Renata,11:19
Conector Acrílico,3488,Priscila,17:02
Mangueira Borracha neoprene,5010,Gustavo,17:24
Correia Cobalto,6918,Renata,11:40
Conector Tungstênio,9328,Evandro,17:20
Pino Fibra de carbono,44,Larissa,18:00
Bucha Ferro fundido cinzento,4675,Priscila,11:07
Correia Borracha nitrílica,1265,Fábio,08:48
Conector Aço temperado,6971,Fernanda,18:04
Terminal Alumínio anodizado,7917,Thiago,09:42
Mangueira Ferro fundido nodular,1207,Thiago,18:02
Anel Borracha EPDM,8905,Isabela,14:14
Retentor Acrílico,2054,Simone,16:30
Anel Magnésio,5702,Renata,07:25
Filtro Borracha natural,8134,Cristiane,07:34
Polia Alumínio,2415,Adriana,12:21
Mangueira Aço D2,6887,Simone,15:11
Abraçadeira Zamak,5213,Isabela,08:18
Junta Delrin,9405,Douglas,15:08
Mangueira Aço SAE 1045,9401,Vanessa,14:43
Mola Zinco,1397,Marcelo,11:06
Engrenagem Aço temperado,7438,Larissa,17:41
Polia Alumínio anodizado,8247,Thiago,14:19
Porca Cromo,748,Priscila,17:13
Rolamento Alumínio anodizado,9110,Rodrigo,11:17
Parafuso Aço inox 316,8283,Vinícius,09:10
Arruela Fibra de vidro,2995,Henrique,08:13
Retentor Ferro fundido cinzento,1500,Fernanda,08:10
Conector Aço inox 316,7728,Marcelo,18:24
Eixo Aço inox 304,1709,Vanessa,15:48
Terminal Cerâmica técnica,9858,Priscila,15:40
Retentor Aço inox 304,4705,Thiago,12:56
Mangueira Aço inox 304,2075,Larissa,07:19
Abraçadeira Titânio,3919,Leandro,16:21
Suporte PEEK,3586,Douglas,08:05
Arruela Borracha nitrílica,8963,Isabela,18:26
Correia Cortiça,3481,Rodrigo,10:47
Mola Nylon,1624,Henrique,14:04
Porca Aço SAE 1020,1918,Simone,10:51
Pino Acrílico,5401,Rodrigo,14:58
Filtro Aço SAE 1020,7042,Cristiane,16:32
Retentor Aço zincado,8378,Vanessa,07:11
Abraçadeira PVC rígido,6421,Vanessa,13:47
Bucha Borracha natural,1338,Priscila,08:59
Arruela Manganês,2273,Vinícius,15:38
Filtro Nylon,9581,Douglas,17:19
Junta Acrílico,4626,Marcelo,09:59
Porca Grafite,4072,Larissa,08:17
Anel PVC rígido,1890,Rodrigo,10:01
Conector Aço zincado,8489,Thiago,10:00
Filtro Zinco,1251,Renata,07:43
Parafuso Zinco,2040,Isabela,11:49
Arruela Latão,6311,Vanessa,11:00
Pino Aço galvanizado,6084,Rodrigo,17:41
Conector Polipropileno,1225,Gustavo,17:52
Mangueira Poliamida,6108,Tatiane,15:12
Suporte Ferro fundido nodular,3246,Vanessa,17:20
Parafuso Acrílico,8545,Vinícius,07:40
Polia Acrílico,221,Adriana,13:45
Abraçadeira Fibra de vidro,9269,Tatiane,18:34
Abraçadeira Borracha neoprene,5819,Tatiane,10:46
Filtro Níquel,4957,Fernanda,09:48
Anel Delrin,8402,Isabela,14:42
Engrenagem Aço SAE 1045,4751,Evandro,14:31
Porca Aço inox 304,20,Vanessa,08:46
Suporte Polipropileno,6898,Adriana,16:52
Rolamento Nylon,3703,Tatiane,11:20
Junta Latão,3646,Cristiane,17:50
Filtro Ferro fundido cinzento,3979,Adriana,08:42
Terminal Manganês,7923,Isabela,13:27
Bucha PTFE,9211,Douglas,10:23
Retentor Nylon,8886,Leandro,16:04
Polia Borracha neoprene,9209,Larissa,12:48
Mangueira Latão,5572,Douglas,13:32
Parafuso Cortiça,2360,Leandro,07:54
Polia Zinco,6945,Cristiane,13:04
Eixo Fibra de carbono,6594,Gustavo,16:04
Conector Borracha neoprene,6175,Simone,08:15
Retentor PTFE,1013,Rodrigo,09:34
Terminal Aço galvanizado,6478,Tatiane,13:34
Mola Delrin,9703,Cristiane,13:11
Terminal Aço SAE 1020,6132,Gustavo,11:25
Arruela Aço carbono,2584,Tatiane,07:44
Bucha Alumínio anodizado,9450,Isabela,15:03
Mangueira Aço galvanizado,3879,Douglas,08:07
Bucha Policarbonato,8452,Vanessa,18:51
Conector Polietileno,3819,Simone,10:45
Suporte Zamak,9157,Priscila,17:00
Conector Magnésio,6003,Cristiane,09:57
Porca Manganês,6388,Simone,18:01
Eixo Policarbonato,6968,Rodrigo,13:21
Arruela Aço H13,5027,Fernanda,16:24
Junta Aço D2,2253,Evandro,11:19
Mangueira Zamak,9589,Larissa,18:09
Parafuso Cobalto,6444,Fábio,08:58
Junta Fibra de vidro,2925,Renata,18:27
Suporte Poliamida,7796,Cristiane,18:23
Engrenagem Borracha silicone,427,Vanessa,15:58
Porca Aço D2,6473,Tatiane,09:02
Mangueira Borracha natural,3166,Priscila,12:15
Suporte Borracha nitrílica,6014,Simone,15:29
Correia Poliamida,1123,Thiago,16:27
Eixo Latão,5013,Isabela,10:02
Terminal Vulcanite,2168,Marcelo,14:14
Abraçadeira Borracha nitrílica,9036,Marcelo,10:22
Abraçadeira Fibra de carbono,5753,Leandro,18:00
Bucha Manganês,5652,Henrique,16:31
Mangueira Borracha silicone,3131,Adriana,12:24
Anel Fibra de vidro,5925,Vanessa,10:18
Engrenagem Fibra de carbono,1670,Rodrigo,08:08
Rolamento Aço SAE 1020,7145,Simone,08:17
Pino Aço SAE 1045,3490,Marcelo,07:38
Correia Níquel,7441,Fábio,16:09
Abraçadeira ABS,129,Renata,17:58
Junta Grafite,8459,Douglas,14:32
Rolamento Cobre,2604,Marcelo,13:26
Eixo Cerâmica técnica,3729,Tatiane,18:39
Bucha Nylon,9911,Rodrigo,08:36
Rolamento PVC rígido,9127,Gustavo,07:45
Suporte Aço inox 304,451,Simone,15:23
Eixo Borracha silicone,3343,Fernanda,16:43
Arruela Ferro fundido cinzento,5095,Douglas,08:44
Pino Vulcanite,2070,Simone,14:09
Filtro Ferro fundido nodular,9370,Adriana,07:35
Terminal Acrílico,6225,Marcelo,16:07
Correia Borracha EPDM,7574,Evandro,12:53
Junta PEEK,627,Leandro,10:15
Mola Borracha natural,5082,Douglas,08:07
Junta Ferro fundido cinzento,5858,Vanessa,16:13
Filtro Magnésio,7490,Evandro,14:14
Mangueira Cobalto,3994,Gustavo,14:54
Bucha Poliamida,5751,Larissa,15:30
