nome,quantidade,responsavel,horario
Teclado,17,Ana,09:47:07
Fone,15,Fernanda,09:48:07
Notebook,3,Eduardo,09:49:07
Monitor,14,Ana,09:50:07
Webcam,29,Bruno,09:51:07
Monitor,43,Eduardo,09:52:07
Webcam,50,Helena,09:53:07
Notebook,36,Daniela,09:54:07
Mouse,37,Fernanda,09:55:07
Notebook,32,Helena,09:56:07
Mouse,34,Fernanda,09:57:07
Teclado,35,Fernanda,09:58:07
Teclado,3,Eduardo,09:59:07
Webcam,21,Daniela,10:00:07
Monitor,47,Ana,10:01:07
Webcam,1,Carlos,10:02:07
Luminária,22,Daniela,10:03:07
Mouse,44,Gabriel,10:04:07
Luminária,10,Fernanda,10:05:07
Mouse,7,Daniela,10:06:07
Webcam,27,Gabriel,10:07:07
Webcam,33,Gabriel,10:08:07
Notebook,47,Ana,10:09:07
Webcam,9,Gabriel,10:10:07
Fone,42,Ana,10:11:07
Notebook,45,Fernanda,10:12:07
Mouse,37,Fernanda,10:13:07
Teclado,8,Eduardo,10:14:07
Teclado,8,Gabriel,10:15:07
Teclado,5,Helena,10:16:07
Notebook,3,Fernanda,10:17:07
Mouse,7,Fernanda,10:18:07
Teclado,11,Eduardo,10:19:07
Monitor,22,Ana,10:20:07
Webcam,49,Gabriel,10:21:07
Mouse,50,Eduardo,10:22:07
Luminária,45,Daniela,10:23:07
Mouse,21,Ana,10:24:07
Cadeira,14,Gabriel,10:25:07
Teclado,32,Helena,10:26:07
Teclado,48,Eduardo,10:27:07
Cadeira,1,Gabriel,10:28:07
Cadeira,43,Ana,10:29:07
Monitor,24,Eduardo,10:30:07
Luminária,16,Eduardo,10:31:07
Monitor,21,Daniela,10:32:07
Luminária,36,Ana,10:33:07
Monitor,3,Fernanda,10:34:07
Fone,48,Helena,10:35:07
Notebook,29,Bruno,10:36:07
Teclado,50,Bruno,10:37:07
Teclado,2,Daniela,10:38:07
Teclado,41,Daniela,10:39:07
Mouse,35,Helena,10:40:07
Teclado,22,Gabriel,10:41:07
Teclado,36,Helena,10:42:07
Luminária,34,Fernanda,10:43:07
Fone,12,Ana,10:44:07
Mouse,7,Eduardo,10:45:07
Webcam,36,Ana,10:46:07
Fone,47,Eduardo,10:47:07
Notebook,28,Eduardo,10:48:07
Luminária,17,Ana,10:49:07
Mouse,3,Gabriel,10:50:07
Notebook,48,Helena,10:51:07
Mouse,44,Gabriel,10:52:07
Mouse,21,Carlos,10:53:07
Luminária,36,Ana,10:54:07
Webcam,29,Ana,10:55:07
Cadeira,8,Daniela,10:56:07
Fone,13,Eduardo,10:57:07
Mouse,4,Carlos,10:58:07
Luminária,5,Eduardo,10:59:07
Notebook,9,Carlos,11:00:07
Mouse,12,Helena,11:01:07
Teclado,27,Daniela,11:02:07
Teclado,47,Fernanda,11:03:07
Luminária,20,Carlos,11:04:07
Luminária,14,Bruno,11:05:07
Cadeira,31,Bruno,11:06:07
Mouse,33,Ana,11:07:07
Luminária,48,Ana,11:08:07
Notebook,18,Carlos,11:09:07
Webcam,8,Gabriel,11:10:07
Notebook,34,Helena,11:11:07
Cadeira,36,Fernanda,11:12:07
Teclado,11,Eduardo,11:13:07
Monitor,41,Daniela,11:14:07
Luminária,46,Carlos,11:15:07
Notebook,50,Helena,11:16:07
Notebook,2,Carlos,11:17:07
Fone,39,Gabriel,11:18:07
Webcam,15,Daniela,11:19:07
Cadeira,23,Daniela,11:20:07
Mouse,6,Fernanda,11:21:07
Mouse,32,Helena,11:22:07
Fone,16,Carlos,11:23:07
Luminária,13,Gabriel,11:24:07
Fone,19,Ana,11:25:07
Teclado,50,Helena,11:26:07
Mouse,12,Fernanda,11:27:07
Webcam,14,Gabriel,11:28:07
Luminária,19,Daniela,11:29:07
Notebook,41,Daniela,11:30:07
Cadeira,42,Gabriel,11:31:07
Mouse,32,Daniela,11:32:07
Luminária,17,Carlos,11:33:07
Cadeira,22,Fernanda,11:34:07
Teclado,31,Helena,11:35:07
Monitor,26,Fernanda,11:36:07
Teclado,26,Helena,11:37:07
Monitor,17,Ana,11:38:07
Mouse,2,Gabriel,11:39:07
Webcam,17,Fernanda,11:40:07
Teclado,45,Helena,11:41:07
Luminária,38,Carlos,11:42:07
Teclado,37,Ana,11:43:07
Cadeira,38,Ana,11:44:07
Mouse,47,Fernanda,11:45:07
Teclado,13,Helena,11:46:07
Luminária,37,Carlos,11:47:07
Fone,7,Helena,11:48:07
Webcam,17,Bruno,11:49:07
Cadeira,5,Fernanda,11:50:07
Mouse,43,Fernanda,11:51:07
Fone,33,Daniela,11:52:07
Fone,18,Carlos,11:53:07
Fone,40,Ana,11:54:07
Webcam,48,Eduardo,11:55:07
Teclado,27,Fernanda,11:56:07
Luminária,6,Ana,11:57:07
Webcam,40,Eduardo,11:58:07
Fone,31,Fernanda,11:59:07
Notebook,37,Daniela,12:00:07
Luminária,46,Bruno,12:01:07
Monitor,29,Helena,12:02:07
Monitor,4,Fernanda,12:03:07
Webcam,46,Eduardo,12:04:07
Webcam,42,Ana,12:05:07
Monitor,17,Gabriel,12:06:07
Monitor,25,Helena,12:07:07
Notebook,2,Ana,12:08:07
Mouse,19,Bruno,12:09:07
Luminária,21,Carlos,12:10:07
Monitor,26,Ana,12:11:07
Monitor,21,Gabriel,12:12:07
Luminária,2,Fernanda,12:13:07
Notebook,34,Fernanda,12:14:07
Teclado,10,Bruno,12:15:07
Fone,5,Fernanda,12:16:07
Mouse,46,Gabriel,12:17:07
Monitor,50,Carlos,12:18:07
Cadeira,17,Fernanda,12:19:07
Monitor,8,Carlos,12:20:07
Monitor,26,Carlos,12:21:07
Notebook,21,Gabriel,12:22:07
Fone,47,Fernanda,12:23:07
Notebook,44,Ana,12:24:07
Mouse,19,Bruno,12:25:07
Notebook,24,Fernanda,12:26:07
Teclado,39,Daniela,12:27:07
Notebook,25,Fernanda,12:28:07
Luminária,39,Fernanda,12:29:07
Mouse,41,Eduardo,12:30:07
Cadeira,31,Helena,12:31:07
Mouse,19,Carlos,12:32:07
Cadeira,43,Eduardo,12:33:07
Luminária,25,Ana,12:34:07
Teclado,37,Gabriel,12:35:07
Luminária,24,Fernanda,12:36:07
Teclado,25,Carlos,12:37:07
Mouse,39,Gabriel,12:38:07
Fone,48,Daniela,12:39:07
Luminária,43,Eduardo,12:40:07
Monitor,4,Ana,12:41:07
Luminária,29,Ana,12:42:07
Cadeira,24,Gabriel,12:43:07
Luminária,35,Bruno,12:44:07
Fone,16,Carlos,12:45:07
Luminária,26,Eduardo,12:46:07
Fone,49,Carlos,12:47:07
Teclado,14,Bruno,12:48:07
Teclado,19,Ana,12:49:07
Teclado,36,Fernanda,12:50:07
Monitor,7,Eduardo,12:51:07
Notebook,8,Eduardo,12:52:07
Fone,21,Eduardo,12:53:07
Webcam,50,Daniela,12:54:07
Notebook,13,Eduardo,12:55:07
Luminária,46,Eduardo,12:56:07
Notebook,46,Carlos,12:57:07
Notebook,20,Fernanda,12:58:07
Mouse,1,Bruno,12:59:07
Webcam,23,Gabriel,13:00:07
Notebook,27,Fernanda,13:01:07
Webcam,15,Helena,13:02:07
Notebook,13,Carlos,13:03:07
Cadeira,33,Bruno,13:04:07
Mouse,28,Carlos,13:05:07
Luminária,19,Bruno,13:06:07
Mouse,19,Daniela,13:07:07
Webcam,34,Bruno,13:08:07
Luminária,10,Eduardo,13:09:07
Teclado,40,Eduardo,13:10:07
Luminária,50,Gabriel,13:11:07
Mouse,8,Gabriel,13:12:07
Cadeira,13,Fernanda,13:13:07
Notebook,44,Eduardo,13:14:07
Teclado,45,Helena,13:15:07
Teclado,16,Helena,13:16:07
Teclado,14,Eduardo,13:17:07
Cadeira,50,Daniela,13:18:07
Cadeira,44,Fernanda,13:19:07
Monitor,22,Daniela,13:20:07
Cadeira,27,Carlos,13:21:07
Luminária,28,Helena,13:22:07
Mouse,15,Fernanda,13:23:07
Teclado,23,Eduardo,13:24:07
Mouse,21,Bruno,13:25:07
Fone,27,Eduardo,13:26:07
Monitor,23,Helena,13:27:07
Mouse,41,Helena,13:28:07
Webcam,18,Helena,13:29:07
Monitor,8,Eduardo,13:30:07
Notebook,42,Carlos,13:31:07
Luminária,22,Helena,13:32:07
Fone,22,Gabriel,13:33:07
Teclado,44,Fernanda,13:34:07
Webcam,28,Fernanda,13:35:07
Mouse,4,Ana,13:36:07
Notebook,35,Bruno,13:37:07
Mouse,12,Helena,13:38:07
Notebook,20,Ana,13:39:07
Mouse,5,Bruno,13:40:07
Webcam,44,Fernanda,13:41:07
Webcam,2,Daniela,13:42:07
Monitor,13,Ana,13:43:07
Fone,9,Carlos,13:44:07
Cadeira,24,Daniela,13:45:07
Luminária,17,Fernanda,13:46:07
Monitor,47,Fernanda,13:47:07
Mouse,26,Gabriel,13:48:07
Monitor,10,Gabriel,13:49:07
Luminária,38,Daniela,13:50:07
Teclado,27,Fernanda,13:51:07
Teclado,12,Daniela,13:52:07
Luminária,17,Eduardo,13:53:07
Cadeira,33,Daniela,13:54:07
Teclado,16,Fernanda,13:55:07
Monitor,18,Bruno,13:56:07
Webcam,27,Eduardo,13:57:07
Monitor,13,Carlos,13:58:07
Webcam,49,Gabriel,13:59:07
Fone,36,Carlos,14:00:07
Mouse,45,Daniela,14:01:07
Notebook,39,Fernanda,14:02:07
Notebook,28,Bruno,14:03:07
Notebook,34,Eduardo,14:04:07
Monitor,14,Eduardo,14:05:07
Mouse,23,Gabriel,14:06:07
Cadeira,4,Bruno,14:07:07
Teclado,12,Fernanda,14:08:07
Fone,9,Gabriel,14:09:07
Fone,5,Helena,14:10:07
Fone,45,Carlos,14:11:07
Notebook,38,Helena,14:12:07
Monitor,37,Gabriel,14:13:07
Luminária,47,Helena,14:14:07
Mouse,3,Bruno,14:15:07
Monitor,31,Helena,14:16:07
Notebook,18,Bruno,14:17:07
Fone,24,Gabriel,14:18:07
Notebook,12,Helena,14:19:07
Webcam,6,Daniela,14:20:07
Notebook,5,Bruno,14:21:07
Monitor,25,Gabriel,14:22:07
Teclado,30,Eduardo,14:23:07
Webcam,35,Eduardo,14:24:07
Webcam,21,Gabriel,14:25:07
Luminária,2,Daniela,14:26:07
Luminária,8,Helena,14:27:07
Webcam,11,Ana,14:28:07
Notebook,16,Bruno,14:29:07
Luminária,22,Gabriel,14:30:07
Mouse,4,Daniela,14:31:07
Luminária,35,Fernanda,14:32:07
Notebook,50,Fernanda,14:33:07
Monitor,21,Bruno,14:34:07
Notebook,44,Gabriel,14:35:07
Mouse,32,Daniela,14:36:07
Notebook,40,Daniela,14:37:07
Fone,39,Fernanda,14:38:07
Mouse,41,Daniela,14:39:07
Cadeira,37,Gabriel,14:40:07
Mouse,44,Fernanda,14:41:07
Fone,47,Fernanda,14:42:07
Cadeira,16,Gabriel,14:43:07
Notebook,43,Daniela,14:44:07
Monitor,26,Bruno,14:45:07
Monitor,38,Helena,14:46:07
Mouse,12,Helena,14:47:07
Luminária,1,Helena,14:48:07
Luminária,32,Eduardo,14:49:07
Webcam,42,Eduardo,14:50:07
Teclado,2,Carlos,14:51:07
Mouse,42,Fernanda,14:52:07
Notebook,43,Fernanda,14:53:07
Monitor,14,Eduardo,14:54:07
Notebook,8,Gabriel,14:55:07
Webcam,2,Ana,14:56:07
Teclado,29,Gabriel,14:57:07
Fone,4,Gabriel,14:58:07
Fone,10,Daniela,14:59:07
Webcam,2,Fernanda,15:00:07
Webcam,24,Bruno,15:01:07
Teclado,25,Daniela,15:02:07
Monitor,20,Eduardo,15:03:07
Webcam,8,Fernanda,15:04:07
Cadeira,24,Bruno,15:05:07
Teclado,11,Gabriel,15:06:07
Teclado,45,Daniela,15:07:07
Fone,49,Bruno,15:08:07
Monitor,37,Carlos,15:09:07
Fone,40,Bruno,15:10:07
Cadeira,42,Bruno,15:11:07
Notebook,44,Ana,15:12:07
Mouse,19,Fernanda,15:13:07
Mouse,22,Daniela,15:14:07
Webcam,43,Daniela,15:15:07
Cadeira,43,Gabriel,15:16:07
Mouse,14,Gabriel,15:17:07
Monitor,18,Gabriel,15:18:07
Cadeira,41,Carlos,15:19:07
Mouse,50,Gabriel,15:20:07
Monitor,19,Helena,15:21:07
Mouse,30,Fernanda,15:22:07
Webcam,26,Eduardo,15:23:07
Mouse,44,Bruno,15:24:07
Teclado,34,Fernanda,15:25:07
Notebook,10,Ana,15:26:07
Monitor,13,Daniela,15:27:07
Luminária,18,Gabriel,15:28:07
Mouse,25,Helena,15:29:07
Fone,42,Helena,15:30:07
Teclado,5,Daniela,15:31:07
Monitor,49,Ana,15:32:07
Fone,31,Daniela,15:33:07
Monitor,48,Eduardo,15:34:07
Luminária,16,Carlos,15:35:07
Luminária,20,Helena,15:36:07
Notebook,29,Eduardo,15:37:07
Fone,18,Carlos,15:38:07
Webcam,27,Gabriel,15:39:07
Cadeira,37,Daniela,15:40:07
Webcam,35,Helena,15:41:07
Fone,30,Daniela,15:42:07
Webcam,8,Carlos,15:43:07
Mouse,44,Daniela,15:44:07
Monitor,1,Daniela,15:45:07
Cadeira,27,Bruno,15:46:07
Cadeira,46,Bruno,15:47:07
Notebook,20,Eduardo,15:48:07
Monitor,14,Fernanda,15:49:07
Cadeira,39,Gabriel,15:50:07
Notebook,4,Ana,15:51:07
Luminária,13,Helena,15:52:07
Notebook,37,Gabriel,15:53:07
Luminária,42,Gabriel,15:54:07
Mouse,47,Daniela,15:55:07
Luminária,39,Eduardo,15:56:07
Webcam,23,Helena,15:57:07
Mouse,15,Daniela,15:58:07
Fone,9,Eduardo,15:59:07
Cadeira,26,Bruno,16:00:07
Notebook,3,Fernanda,16:01:07
Fone,14,Carlos,16:02:07
Monitor,19,Helena,16:03:07
Webcam,26,Daniela,16:04:07
Webcam,8,Gabriel,16:05:07
Webcam,43,Ana,16:06:07
Notebook,13,Ana,16:07:07
Teclado,1,Helena,16:08:07
Webcam,30,Daniela,16:09:07
Teclado,25,Gabriel,16:10:07
Teclado,21,Eduardo,16:11:07
Teclado,9,Helena,16:12:07
Mouse,7,Ana,16:13:07
Mouse,3,Ana,16:14:07
Cadeira,2,Ana,16:15:07
Teclado,23,Carlos,16:16:07
Notebook,23,Carlos,16:17:07
Notebook,29,Helena,16:18:07
Fone,23,Ana,16:19:07
Cadeira,43,Gabriel,16:20:07
Mouse,22,Ana,16:21:07
Notebook,6,Helena,16:22:07
Teclado,32,Daniela,16:23:07
Luminária,6,Bruno,16:24:07
Monitor,13,Eduardo,16:25:07
Cadeira,22,Gabriel,16:26:07
Teclado,41,Gabriel,16:27:07
Notebook,18,Fernanda,16:28:07
Mouse,36,Fernanda,16:29:07
Fone,23,Ana,16:30:07
Luminária,17,Gabriel,16:31:07
Webcam,19,Daniela,16:32:07
Monitor,3,Fernanda,16:33:07
Luminária,6,Ana,16:34:07
Luminária,30,Fernanda,16:35:07
Teclado,27,Eduardo,16:36:07
Cadeira,13,Carlos,16:37:07
Luminária,24,Fernanda,16:38:07
Teclado,7,Daniela,16:39:07
Teclado,46,Bruno,16:40:07
Cadeira,25,Daniela,16:41:07
Webcam,25,Fernanda,16:42:07
Notebook,9,Ana,16:43:07
Teclado,33,Gabriel,16:44:07
Luminária,37,Helena,16:45:07
Notebook,3,Bruno,16:46:07
Webcam,50,Eduardo,16:47:07
Luminária,27,Ana,16:48:07
Mouse,43,Helena,16:49:07
Cadeira,17,Eduardo,16:50:07
Teclado,2,Helena,16:51:07
Mouse,46,Bruno,16:52:07
Webcam,26,Carlos,16:53:07
Cadeira,47,Fernanda,16:54:07
Teclado,43,Gabriel,16:55:07
Mouse,4,Eduardo,16:56:07
Luminária,20,Helena,16:57:07
Notebook,1,Daniela,16:58:07
Luminária,13,Ana,16:59:07
Webcam,30,Gabriel,17:00:07
Luminária,43,Gabriel,17:01:07
Teclado,12,Gabriel,17:02:07
Monitor,19,Eduardo,17:03:07
Teclado,9,Bruno,17:04:07
Monitor,2,Gabriel,17:05:07
Cadeira,44,Ana,17:06:07
Mouse,3,Eduardo,17:07:07
Fone,46,Helena,17:08:07
Fone,16,Bruno,17:09:07
Monitor,13,Fernanda,17:10:07
Fone,10,Eduardo,17:11:07
Webcam,4,Daniela,17:12:07
Notebook,3,Fernanda,17:13:07
Teclado,35,Eduardo,17:14:07
Monitor,32,Daniela,17:15:07
Teclado,42,Fernanda,17:16:07
Mouse,29,Ana,17:17:07
Luminária,8,Daniela,17:18:07
Luminária,45,Bruno,17:19:07
Cadeira,2,Ana,17:20:07
Teclado,48,Daniela,17:21:07
Mouse,5,Gabriel,17:22:07
Cadeira,25,Ana,17:23:07
Teclado,30,Fernanda,17:24:07
Teclado,21,Helena,17:25:07
Mouse,1,Carlos,17:26:07
Notebook,33,Ana,17:27:07
Teclado,6,Ana,17:28:07
Teclado,7,Eduardo,17:29:07
Monitor,50,Helena,17:30:07
Monitor,30,Gabriel,17:31:07
Cadeira,45,Ana,17:32:07
Monitor,25,Helena,17:33:07
Cadeira,27,Carlos,17:34:07
Cadeira,48,Helena,17:35:07
Mouse,19,Eduardo,17:36:07
Teclado,20,Daniela,17:37:07
Webcam,8,Daniela,17:38:07
Fone,17,Ana,17:39:07
Monitor,47,Gabriel,17:40:07
Cadeira,16,Carlos,17:41:07
Fone,5,Daniela,17:42:07
Fone,20,Fernanda,17:43:07
Monitor,4,Gabriel,17:44:07
Teclado,3,Helena,17:45:07
Luminária,28,Carlos,17:46:07
Fone,41,Fernanda,17:47:07
Luminária,28,Helena,17:48:07
Notebook,9,Eduardo,17:49:07
Fone,28,Daniela,17:50:07
Fone,4,Gabriel,17:51:07
Cadeira,7,Helena,17:52:07
Teclado,19,Bruno,17:53:07
Notebook,18,Daniela,17:54:07
Luminária,31,Eduardo,17:55:07
Cadeira,42,Daniela,17:56:07
Cadeira,25,Ana,17:57:07
Mouse,12,Daniela,17:58:07
Cadeira,26,Gabriel,17:59:07
Mouse,43,Daniela,18:00:07
Webcam,19,Eduardo,18:01:07
Webcam,36,Daniela,18:02:07
Notebook,7,Gabriel,18:03:07
Luminária,12,Ana,18:04:07
Fone,7,Ana,18:05:07
Cadeira,42,Helena,18:06:07
Notebook,17,Helena,18:07:07
Webcam,48,Daniela,18:08:07
Mouse,7,Ana,18:09:07
Luminária,1,Gabriel,18:10:07
Fone,21,Eduardo,18:11:07
Webcam,9,Daniela,18:12:07
Fone,45,Helena,18:13:07
Cadeira,16,Bruno,18:14:07
Notebook,6,Helena,18:15:07
Cadeira,4,Gabriel,18:16:07
Cadeira,28,Helena,18:17:07
Webcam,16,Carlos,18:18:07
Cadeira,24,Fernanda,18:19:07
Cadeira,31,Fernanda,18:20:07
Fone,38,Bruno,18:21:07
Teclado,22,Daniela,18:22:07
Luminária,10,Carlos,18:23:07
Monitor,36,Daniela,18:24:07
Notebook,25,Ana,18:25:07
Webcam,47,Carlos,18:26:07
Notebook,33,Gabriel,18:27:07
Luminária,26,Ana,18:28:07
Fone,30,Fernanda,18:29:07
Fone,17,Ana,18:30:07
Monitor,34,Carlos,18:31:07
Teclado,21,Helena,18:32:07
Notebook,22,Gabriel,18:33:07
Mouse,23,Fernanda,18:34:07
Cadeira,39,Helena,18:35:07
Teclado,39,Bruno,18:36:07
Notebook,41,Eduardo,18:37:07
Webcam,37,Daniela,18:38:07
Teclado,1,Fernanda,18:39:07
Fone,33,Eduardo,18:40:07
Monitor,46,Eduardo,18:41:07
Teclado,6,Daniela,18:42:07
Teclado,47,Eduardo,18:43:07
Fone,16,Carlos,18:44:07
Teclado,39,Helena,18:45:07
Mouse,11,Bruno,18:46:07
Mouse,43,Helena,18:47:07
Webcam,7,Gabriel,18:48:07
Webcam,31,Carlos,18:49:07
Mouse,34,Gabriel,18:50:07
Monitor,20,Eduardo,18:51:07
Luminária,5,Ana,18:52:07
Cadeira,50,Carlos,18:53:07
Cadeira,1,Helena,18:54:07
Teclado,31,Daniela,18:55:07
Luminária,45,Ana,18:56:07
Webcam,13,Gabriel,18:57:07
Fone,22,Gabriel,18:58:07
Cadeira,29,Daniela,18:59:07
Luminária,40,Daniela,19:00:07
Teclado,49,Ana,19:01:07
Cadeira,5,Carlos,19:02:07
Cadeira,35,Gabriel,19:03:07
Teclado,22,Fernanda,19:04:07
Notebook,26,Bruno,19:05:07
Cadeira,31,Helena,19:06:07
Fone,34,Fernanda,19:07:07
Webcam,17,Eduardo,19:08:07
Monitor,47,Bruno,19:09:07
Teclado,46,Eduardo,19:10:07
Luminária,29,Carlos,19:11:07
Cadeira,50,Helena,19:12:07
Monitor,21,Ana,19:13:07
Mouse,23,Fernanda,19:14:07
Monitor,43,Eduardo,19:15:07
Webcam,15,Daniela,19:16:07
Teclado,39,Fernanda,19:17:07
Luminária,27,Gabriel,19:18:07
Mouse,47,Daniela,19:19:07
Notebook,48,Eduardo,19:20:07
Luminária,50,Ana,19:21:07
Mouse,32,Daniela,19:22:07
Notebook,12,Fernanda,19:23:07
Mouse,45,Ana,19:24:07
Monitor,28,Fernanda,19:25:07
Luminária,21,Bruno,19:26:07
Notebook,48,Helena,19:27:07
Notebook,45,Gabriel,19:28:07
Teclado,25,Daniela,19:29:07
Webcam,24,Eduardo,19:30:07
Webcam,25,Carlos,19:31:07
Mouse,24,Ana,19:32:07
Monitor,24,Gabriel,19:33:07
Monitor,22,Fernanda,19:34:07
Fone,45,Ana,19:35:07
Luminária,38,Daniela,19:36:07
Teclado,50,Eduardo,19:37:07
Teclado,38,Gabriel,19:38:07
Fone,49,Fernanda,19:39:07
Webcam,50,Gabriel,19:40:07
Webcam,17,Gabriel,19:41:07
Cadeira,18,Carlos,19:42:07
Teclado,29,Daniela,19:43:07
Cadeira,22,Eduardo,19:44:07
Notebook,14,Eduardo,19:45:07
Luminária,13,Eduardo,19:46:07
Monitor,14,Bruno,19:47:07
Notebook,15,Gabriel,19:48:07
Monitor,23,Eduardo,19:49:07
Teclado,30,Eduardo,19:50:07
Teclado,17,Fernanda,19:51:07
Notebook,13,Fernanda,19:52:07
Teclado,11,Daniela,19:53:07
Notebook,33,Eduardo,19:54:07
Notebook,40,Helena,19:55:07
Luminária,5,Eduardo,19:56:07
Luminária,45,Daniela,19:57:07
Notebook,5,Ana,19:58:07
Notebook,38,Eduardo,19:59:07
Cadeira,24,Fernanda,20:00:07
Mouse,48,Fernanda,20:01:07
Teclado,29,Daniela,20:02:07
Cadeira,17,Bruno,20:03:07
Luminária,11,Eduardo,20:04:07
Cadeira,19,Carlos,20:05:07
Fone,25,Ana,20:06:07
Teclado,35,Daniela,20:07:07
Notebook,45,Fernanda,20:08:07
Webcam,1,Fernanda,20:09:07
Monitor,10,Daniela,20:10:07
Fone,38,Daniela,20:11:07
Notebook,14,Gabriel,20:12:07
Mouse,18,Ana,20:13:07
Webcam,29,Helena,20:14:07
Webcam,25,Fernanda,20:15:07
Luminária,33,Daniela,20:16:07
Fone,10,Gabriel,20:17:07
Webcam,21,Bruno,20:18:07
Mouse,45,Gabriel,20:19:07
Luminária,25,Carlos,20:20:07
Mouse,37,Ana,20:21:07
Fone,31,Gabriel,20:22:07
Webcam,48,Carlos,20:23:07
Mouse,14,Gabriel,20:24:07
Monitor,50,Gabriel,20:25:07
Webcam,24,Eduardo,20:26:07
Mouse,43,Gabriel,20:27:07
Mouse,42,Carlos,20:28:07
Notebook,3,Fernanda,20:29:07
Cadeira,29,Carlos,20:30:07
Monitor,26,Gabriel,20:31:07
Teclado,28,Daniela,20:32:07
Monitor,35,Carlos,20:33:07
Luminária,10,Gabriel,20:34:07
Fone,31,Helena,20:35:07
Luminária,32,Bruno,20:36:07
Monitor,7,Carlos,20:37:07
Webcam,9,Helena,20:38:07
Mouse,6,Gabriel,20:39:07
Monitor,18,Ana,20:40:07
Monitor,34,Bruno,20:41:07
Fone,45,Carlos,20:42:07
Luminária,22,Fernanda,20:43:07
Mouse,38,Ana,20:44:07
Monitor,29,Fernanda,20:45:07
Webcam,6,Carlos,20:46:07
Fone,36,Bruno,20:47:07
Fone,30,Eduardo,20:48:07
Webcam,4,Daniela,20:49:07
Teclado,7,Daniela,20:50:07
Teclado,48,Bruno,20:51:07
Luminária,6,Bruno,20:52:07
Mouse,39,Ana,20:53:07
Cadeira,35,Ana,20:54:07
Fone,12,Daniela,20:55:07
Cadeira,13,Carlos,20:56:07
Cadeira,26,Helena,20:57:07
Mouse,44,Eduardo,20:58:07
Cadeira,47,Carlos,20:59:07
Notebook,39,Daniela,21:00:07
Notebook,3,Ana,21:01:07
Cadeira,6,Eduardo,21:02:07
Luminária,18,Gabriel,21:03:07
Webcam,12,Helena,21:04:07
Teclado,8,Bruno,21:05:07
Mouse,48,Fernanda,21:06:07
Fone,2,Gabriel,21:07:07
Teclado,21,Helena,21:08:07
Fone,17,Fernanda,21:09:07
Webcam,8,Ana,21:10:07
Mouse,20,Bruno,21:11:07
Notebook,9,Eduardo,21:12:07
Fone,37,Bruno,21:13:07
Notebook,20,Carlos,21:14:07
Mouse,41,Gabriel,21:15:07
Teclado,3,Daniela,21:16:07
Teclado,11,Bruno,21:17:07
Mouse,8,Daniela,21:18:07
Mouse,22,Fernanda,21:19:07
Cadeira,28,Daniela,21:20:07
Cadeira,14,Bruno,21:21:07
Luminária,20,Carlos,21:22:07
Webcam,48,Gabriel,21:23:07
