ID,Nome,Quantidade,Horario,Responsavel
345,Conector Aço SAE 1020,6398,10:42:00,Fernanda
346,Correia Molibdênio,8142,18:19:00,Adriana
347,Abraçadeira PTFE,5515,8:52:00,Fábio
348,Conector Zinco,5099,15:51:00,Cristiane
349,Filtro Zamak,3448,14:24:00,Tatiane
350,Eixo Magnésio,7226,7:47:00,Douglas
351,Retentor Borracha nitrílica,7950,18:16:00,Marcelo
352,Arruela Fibra de carbono,1175,16:22:00,Cristiane
353,Rolamento Borracha EPDM,447,16:25:00,Leandro
354,Conector Molibdênio,1428,17:51:00,Douglas
355,Correia Zamak,2153,18:06:00,Cristiane
356,Suporte Fibra de vidro,3314,16:58:00,Marcelo
357,Abraçadeira Bronze,5279,8:54:00,Evandro
358,Parafuso Alumínio anodizado,7113,13:09:00,Henrique
359,Mangueira Vulcanite,8915,14:55:00,Simone
360,Mangueira Delrin,7011,9:38:00,Vanessa
361,Pino Borracha natural,1167,15:47:00,Fábio
362,Rolamento Borracha natural,8183,8:05:00,Douglas
363,Abraçadeira Nylon,8505,13:57:00,Fábio
364,Terminal Polipropileno,3519,11:11:00,Henrique
365,Bucha Aço SAE 1020,8570,12:34:00,Tatiane
366,Arruela PTFE,1773,17:02:00,Adriana
367,Parafuso Polipropileno,1859,16:11:00,Gustavo
368,Bucha Magnésio,4625,16:39:00,Vinícius
369,Arruela Polietileno,2313,12:07:00,Tatiane
370,Engrenagem PTFE,9916,15:14:00,Marcelo
371,Pino Polietileno,3889,9:26:00,Fábio
372,Mangueira Fibra de vidro,4922,9:59:00,Tatiane
373,Abraçadeira Polietileno,9163,12:03:00,Douglas
374,Terminal Molibdênio,9623,8:06:00,Adriana
375,Junta Polietileno,1403,17:37:00,Thiago
376,Rolamento ABS,6587,14:49:00,Adriana
377,Pino Ferro fundido nodular,3028,16:41:00,Simone
378,Correia Manganês,218,13:16:00,Vinícius
379,Junta Borracha silicone,8557,8:21:00,Larissa
380,Anel Aço zincado,1426,9:56:00,Vinícius
381,Junta Bronze,7028,9:03:00,Larissa
382,Porca Poliamida,1075,13:51:00,Renata
383,Mola Aço zincado,8545,8:02:00,Renata
384,Polia Aço zincado,9069,17:32:00,Gustavo
385,Junta Magnésio,8918,8:06:00,Fábio
386,Filtro Bronze,2359,7:45:00,Thiago
387,Engrenagem Cobalto,607,16:09:00,Cristiane
388,Engrenagem Cobre,594,17:52:00,Rodrigo
389,Suporte Bronze,4112,15:10:00,Tatiane
390,Parafuso Policarbonato,9831,14:54:00,Vanessa
391,Rolamento Zamak,2722,8:04:00,Henrique
392,Bucha Polietileno,4363,12:10:00,Tatiane
393,Rolamento Aço SAE 1045,130,18:32:00,Rodrigo
394,Mola Aço temperado,2685,7:53:00,Fábio
395,Correia Zinco,1,16:53:00,Rodrigo
396,Porca Ferro fundido nodular,9485,18:21:00,Priscila
397,Junta PTFE,6894,11:25:00,Isabela
398,Parafuso Bronze,8009,8:47:00,Fernanda
399,Terminal Borracha silicone,332,15:15:00,Douglas
400,Mola Aço D2,5573,13:20:00,Tatiane
401,Terminal Fibra de carbono,9161,7:36:00,Fábio
402,Conector Titânio,4847,11:46:00,Larissa
403,Conector Latão,1544,15:13:00,Adriana
404,Anel Borracha natural,2092,13:05:00,Simone
405,Suporte Aço temperado,3960,13:45:00,Thiago
406,Engrenagem Borracha natural,2367,11:28:00,Fernanda
407,Filtro Tungstênio,962,15:16:00,Larissa
408,Filtro Borracha nitrílica,2664,7:06:00,Adriana
409,Retentor Manganês,3269,14:30:00,Marcelo
410,Porca Aço galvanizado,5126,11:21:00,Rodrigo
411,Terminal Ferro fundido cinzento,3867,16:30:00,Henrique
412,Retentor Delrin,9949,10:50:00,Rodrigo
413,Engrenagem Aço carbono,4797,7:29:00,Renata
414,Mola Ferro fundido nodular,1683,13:19:00,Cristiane
415,Rolamento Polipropileno,9307,16:41:00,Isabela
416,Suporte Acrílico,1093,17:04:00,Cristiane
417,Anel Zamak,9135,14:04:00,Isabela
418,Mangueira Cortiça,6518,7:59:00,Tatiane
419,Conector Aço galvanizado,7117,12:10:00,Fernanda
420,Pino Borracha nitrílica,1685,12:03:00,Leandro
421,Pino Latão,573,15:06:00,Henrique
422,Parafuso Borracha silicone,320,8:40:00,Tatiane
423,Suporte Manganês,6899,14:52:00,Isabela
424,Eixo Zinco,130,10:56:00,Fábio
425,Junta Aço SAE 1020,1790,15:37:00,Fábio
426,Retentor Cobalto,1860,12:48:00,Simone
427,Bucha Aço temperado,6924,11:01:00,Vanessa
428,Parafuso Ferro fundido nodular,4629,10:44:00,Isabela
429,Polia Polipropileno,6602,12:17:00,Leandro
430,Correia Cromo,9698,13:45:00,Fábio
431,Correia PTFE,8650,11:45:00,Marcelo
432,Terminal Grafite,6425,15:51:00,Larissa
433,Parafuso Aço SAE 1020,9988,14:07:00,Cristiane
434,Pino PEEK,5352,7:23:00,Evandro
435,Eixo Aço H13,7818,16:53:00,Priscila
436,Mangueira Polipropileno,5263,8:04:00,Fábio
437,Engrenagem Fibra de vidro,710,13:18:00,Vanessa
438,Abraçadeira Latão,5141,7:29:00,Fernanda
439,Mangueira Magnésio,7903,10:04:00,Leandro
440,Pino PTFE,9978,12:19:00,Renata
441,Eixo Polietileno,9000,15:42:00,Leandro
442,Arruela ABS,92,7:41:00,Gustavo
443,Filtro Titânio,7206,8:53:00,Larissa
444,Engrenagem Ferro fundido nodular,5064,13:59:00,Simone
445,Arruela Acrílico,5578,11:06:00,Fábio
446,Suporte Aço H13,4548,13:31:00,Douglas
447,Bucha ABS,9100,16:04:00,Simone
448,Correia Latão,6232,16:25:00,Priscila
449,Mola Polietileno,2710,15:40:00,Priscila
450,Conector Teflon,9240,18:17:00,Priscila
451,Engrenagem Aço galvanizado,1882,8:11:00,Leandro
452,Polia Polietileno,8663,8:59:00,Vanessa
453,Conector Níquel,4395,17:06:00,Thiago
454,Engrenagem Grafite,2240,13:25:00,Isabela
455,Porca Zinco,9869,11:35:00,Henrique
456,Mangueira ABS,4909,9:27:00,Simone
457,Engrenagem Bronze,7145,10:47:00,Fábio
458,Engrenagem Molibdênio,8099,13:51:00,Larissa
459,Suporte Borracha neoprene,2253,17:54:00,Thiago
460,Abraçadeira Cromo,1546,10:05:00,Douglas
461,Suporte Borracha EPDM,3590,15:13:00,Henrique
462,Engrenagem Alumínio,2961,10:20:00,Douglas
463,Pino Aço SAE 1020,3836,12:21:00,Evandro
464,Abraçadeira Aço carbono,3721,18:49:00,Larissa
465,Conector Aço carbono,6445,15:20:00,Marcelo
466,Suporte Fibra de carbono,8191,15:01:00,Vinícius
467,Abraçadeira Magnésio,8713,14:46:00,Cristiane
468,Junta Alumínio anodizado,4554,7:36:00,Evandro
469,Engrenagem Acrílico,451,10:36:00,Simone
470,Conector Fibra de carbono,6937,7:50:00,Douglas
471,Rolamento Delrin,873,13:16:00,Thiago
472,Pino Borracha neoprene,808,12:23:00,Larissa
473,Terminal PTFE,1146,11:19:00,Renata
474,Conector Acrílico,3488,17:02:00,Priscila
475,Mangueira Borracha neoprene,5010,17:24:00,Gustavo
476,Correia Cobalto,6918,11:40:00,Renata
477,Conector Tungstênio,9328,17:20:00,Evandro
478,Pino Fibra de carbono,44,18:00:00,Larissa
479,Bucha Ferro fundido cinzento,4675,11:07:00,Priscila
480,Correia Borracha nitrílica,1265,8:48:00,Fábio
481,Conector Aço temperado,6971,18:04:00,Fernanda
482,Terminal Alumínio anodizado,7917,9:42:00,Thiago
483,Mangueira Ferro fundido nodular,1207,18:02:00,Thiago
484,Anel Borracha EPDM,8905,14:14:00,Isabela
485,Retentor Acrílico,2054,16:30:00,Simone
486,Anel Magnésio,5702,7:25:00,Renata
487,Filtro Borracha natural,8134,7:34:00,Cristiane
488,Polia Alumínio,2415,12:21:00,Adriana
489,Mangueira Aço D2,6887,15:11:00,Simone
490,Abraçadeira Zamak,5213,8:18:00,Isabela
491,Junta Delrin,9405,15:08:00,Douglas
492,Mangueira Aço SAE 1045,9401,14:43:00,Vanessa
493,Mola Zinco,1397,11:06:00,Marcelo
494,Engrenagem Aço temperado,7438,17:41:00,Larissa
495,Polia Alumínio anodizado,8247,14:19:00,Thiago
496,Porca Cromo,748,17:13:00,Priscila
497,Rolamento Alumínio anodizado,9110,11:17:00,Rodrigo
498,Parafuso Aço inox 316,8283,9:10:00,Vinícius
499,Arruela Fibra de vidro,2995,8:13:00,Henrique
500,Retentor Ferro fundido cinzento,1500,8:10:00,Fernanda
501,Conector Aço inox 316,7728,18:24:00,Marcelo
502,Eixo Aço inox 304,1709,15:48:00,Vanessa
503,Terminal Cerâmica técnica,9858,15:40:00,Priscila
504,Retentor Aço inox 304,4705,12:56:00,Thiago
505,Mangueira Aço inox 304,2075,7:19:00,Larissa
506,Abraçadeira Titânio,3919,16:21:00,Leandro
507,Suporte PEEK,3586,8:05:00,Douglas
508,Arruela Borracha nitrílica,8963,18:26:00,Isabela
509,Correia Cortiça,3481,10:47:00,Rodrigo
510,Mola Nylon,1624,14:04:00,Henrique
511,Porca Aço SAE 1020,1918,10:51:00,Simone
512,Pino Acrílico,5401,14:58:00,Rodrigo
513,Filtro Aço SAE 1020,7042,16:32:00,Cristiane
514,Retentor Aço zincado,8378,7:11:00,Vanessa
515,Abraçadeira PVC rígido,6421,13:47:00,Vanessa
